"","LAT_DEG","LONG_DEG","As","Al","Cd","Cr","Cu","Fe","Ni","Pb","Zn"
"64",24.605,90.024,7.5,11,0.000459510879591107,0.0953852955717593,2,2840,1.3,1,50
"65",22.812,89.561,0.00433170318137854,6,0.0047894029179588,0.241664272500202,1,28,1.3,0.18,3
"66",24.24,89.909,77.6,11,0.0176586600299925,0.0447553166886792,1,7330,1.9,0.52,28
"67",22.718,89.07,11.8,2,0.0027402422670275,0.28519130020868,1,19,4.9,0.09,3
"68",24.108,90.076,16.8,15,0.0134698430681601,0.17149981460534,2,4430,3.5,0.48,26
"69",22.586,89.504,1.4,5,0.00911680562421679,0.466855713981204,0.650825799209997,94,0.9,0.19,6
"70",24.197,90.474,7.7,13,0.03,0.5,2,1620,2,1.44,44
"71",22.663,89.763,8.1,14,0.00943843031767756,0.304662292590365,2,86,3.9,0.34,5
"72",23.926,90.718,70.6,23,0.00190055299084634,0.285517865093425,0.591387087013572,5160,2.3,0.35,11
"73",22.548,89.538,0.7,5,0.0102236278913915,0.5,1,22,1.3,2,4
"74",23.734,90.418,7.5,10,0.03,0.430135640315711,5,71,2.4,0.88,28
"75",23.765,89.476,29,11,0.00967577623203397,0.422720917616971,1,2260,2.2,0.42,33
"76",23.754,89.645,61.8,9,0.0014649451058358,0.23690630774945,2,4430,3.1,0.41,40
"77",23.599,89.835,215,8,0.0135006852867082,0.116445717401803,1,5670,3,0.32,7
"78",23.21,89.693,200,8,0.0139993303176016,0.337239776155911,2,10600,4.1,0.39,12
"79",23.005,89.823,144,8,0.0121714286133647,0.0185453464509919,2,6920,2.9,0.43,NA
"80",23.167,90.195,3.1,16,0.00433063248638064,0.332743088481948,4,1170,2.6,0.7,22
"81",22.7,90.369,3.4,15,0.0111511784419417,0.278367889812216,4,156,0.161376641783863,0.69,16
"82",22.355,90.345,10,28,0.0146214557997882,0.487852023215964,3,112,0.0746096305549145,0.79,53
"83",23.51,90.217,401,12,0.03,0.438450066489168,2,4430,4.1,0.54,NA
"84",23.769,90.364,7.5,6,0.0145575605332851,1.6,9,96,5,0.53,14
"85",22.1467,91.8231,1.2,21,0.03,0.6,2,33600,2.7,1.81,NA
"86",22.1924,91.8562,4.2,15,0.0147847996233031,0.5,5,211,1.7,0.65,NA
"87",22.1467,91.8231,0.7,15,0.00607316995505244,0.6,2,12400,1.4,0.41,47
"88",23.4453,91.1722,3.7,12,0.019193289577961,0.498985698097385,17,1660,1.9,0.31,74
"89",23.536,90.7104,444,14,0.0178723206883296,0.12604527536314,2,10100,3.8,0.32,30
"90",23.2499,91.115,107,12,0.0102714914316311,0.7,1,2780,1.6,0.38,18
"91",23.2484,90.8696,2.5,24,0.03,0.6,19,4020,3.1,2.2,52
"92",23.2342,90.6673,234,16,0.03,0.5,4,7060,2.2,2.19,NA
"93",22.8334,91.0955,100,12,0.0150745997205377,0.400384232052602,1,665,1.7,1.2,12
"94",23.0053,91.3866,111,18,0.00123549314215779,0.5,2,490,1.1,0.46,13
"95",22.7761,91.5656,275,39,0.00439890731591731,1.1,3,1320,1.5,8.17,13
"96",22.4735,91.7891,4.4,12,0.00421979350503534,3.9,8,33,5.5,3.07,24
"97",22.3704,91.8442,3.4,24,5.3632277995348e-05,0.7,3,202,1.7,1.93,24
"98",22.2234,91.898,2,11,0.000162473991513252,0.479359032353386,1,365,1,0.39,12
"99",22.0721,92.0479,4.6,15,0.0131388399284333,0.8,2,527,0.358469923492521,0.41,18
"100",21.4349,91.9656,2,13,0.00977898735087365,0.0753609882667661,3,128,2.7,0.64,12
"101",21.2432,92.1325,1.2,13,0.0101186098856851,2.1,2,307,1.8,0.44,11
"102",22.4815,91.4285,0.9,NA,NA,NA,NA,139,NA,NA,NA
"103",22.4815,91.4285,0.6,NA,NA,NA,NA,65,NA,NA,NA
"104",22.4815,91.4285,1.1,NA,NA,NA,NA,47,NA,NA,NA
"105",21.517,91.9584,8.7,NA,NA,NA,NA,88,NA,NA,NA
"106",21.8128,91.8449,1.1,NA,NA,NA,NA,290,NA,NA,NA
"107",22.4817,91.4332,1.1,NA,NA,NA,NA,89,NA,NA,NA
"108",23.8659,91.201,11.3,NA,NA,NA,NA,249,NA,NA,NA
"109",23.7627,90.9899,261,NA,NA,NA,NA,134,NA,NA,NA
"110",24.1945,91.5138,3.4,NA,NA,NA,NA,161,NA,NA,NA
"111",24.3776,91.4083,5.2,NA,NA,NA,NA,211,NA,NA,NA
"112",24.4696,91.7603,2.3,NA,NA,NA,NA,197,NA,NA,NA
"113",24.8795,91.8605,11.2,NA,NA,NA,NA,2260,NA,NA,NA
