,SAMPLE_ID,SAMPLE_DATE,LAT_DEG,LONG_DEG,Ba,Cd,Co,Cr,Cu,Mo,Ni,Pb,Sn,Tl,V,Zn
50,S98_01834,18/07/98,25.018,90.012,127,0.02,0.38,0.5,1,0.7,2.2,0.47,0.7,0.01,0.2,16
51,S98_01835,19/07/98,23.761,88.632,126,0.02,0.31,0.5,1,0.6,3,0.14,1.9,0.01,0.2,NA
52,S98_01836,20/07/98,24.758,89.835,51,0.03,0.61,0.5,1,0.1,2.1,0.59,0.7,0.01,0.4,40
53,S98_01837,19/07/98,23.529,88.81,363,0.04,0.53,0.5,2,7.8,4.9,1.18,1,0.01,7.2,8
54,S98_01838,17/07/98,24.748,90.406,63,0.02,0.16,0.5,1,0.1,1.1,0.25,1.4,0.01,0.2,3
55,S98_01839,18/07/98,23.547,89.165,106,0.04,0.29,0.5,2,1,2.5,0.7,1.3,0.01,0.2,13
56,S98_01840,17/07/98,24.866,90.722,12,0.02,0.15,0.5,1,0.7,1.5,0.29,0.6,0.01,2.1,34
57,S98_01841,15/07/98,23.488,89.429,192,0.02,0.59,0.5,1,1.5,3.9,0.25,1.4,0.01,0.2,NA
58,S98_01842,18/07/98,24.444,90.773,56,0.02,0.28,0.5,1,0.6,1,0.55,1.1,0.01,0.2,59
59,S98_01843,18/07/98,23.167,89.219,128,0.02,0.38,0.5,1,0.7,3.2,0.21,0.6,0.01,0.2,4
60,S98_01844,17/07/98,24.454,90.54,25,0.02,0.11,0.5,1,0.1,1.5,0.39,1.1,0.01,5.7,9
61,S98_01845,18/07/98,23.173,89.513,56,0.02,0.55,0.5,1,1.5,4,0.34,1.6,0.01,0.4,NA
62,S98_01846,18/07/98,24.047,90.973,75,0.02,0.4,0.5,1,2.5,2.2,0.5,0.7,0.01,0.2,28
63,S98_01847,15/07/98,23.059,89.077,143,0.04,0.31,0.5,1,0.5,3.2,0.24,2,0.01,0.2,9
64,S98_01848,20/07/98,24.605,90.024,11,0.02,0.43,0.5,2,0.1,1.3,1,1,0.01,1.2,50
65,S98_01849,15/07/98,22.812,89.561,137,0.02,0.13,0.5,1,0.3,1.3,0.18,0.7,0.01,0.2,3
66,S98_01850,20/07/98,24.24,89.909,102,0.02,0.25,0.5,1,1.8,1.9,0.52,1.9,0.01,0.2,28
67,S98_01851,17/07/98,22.718,89.07,597,0.02,0.55,0.5,1,1,4.9,0.09,0.7,0.01,0.2,3
68,S98_01852,20/07/98,24.108,90.076,90,0.02,0.14,0.5,2,0.5,3.5,0.48,2.1,0.01,0.2,26
69,S98_01853,18/07/98,22.586,89.504,61,0.02,0.25,0.5,1,1.2,0.9,0.19,0.4,0.01,0.2,6
70,S98_01854,17/07/98,24.197,90.474,32,0.03,0.14,0.5,2,0.2,2,1.44,1,0.01,1.8,44
71,S98_01855,15/07/98,22.663,89.763,145,0.02,0.33,0.5,2,0.8,3.9,0.34,0.8,0.01,0.2,5
72,S98_01856,18/07/98,23.926,90.718,238,0.02,0.3,0.5,1,1.2,2.3,0.35,0.5,0.01,0.2,11
73,S98_01857,18/07/98,22.548,89.538,128,0.02,0.17,0.5,1,0.5,1.3,2,0.5,0.01,0.2,4
74,S98_01858,16/07/98,23.734,90.418,26,0.03,0.17,0.5,5,0.1,2.4,0.88,1.2,0.01,0.7,28
75,S98_01859,22/07/98,23.765,89.476,127,0.02,0.23,0.5,1,0.8,2.2,0.42,1,0.01,0.2,33
76,S98_01860,22/07/98,23.754,89.645,146,0.02,0.43,0.5,2,1.1,3.1,0.41,1,0.01,0.2,40
77,S98_01861,23/07/98,23.599,89.835,172,0.02,0.42,0.5,1,1.9,3,0.32,0.9,0.01,0.2,7
78,S98_01862,23/07/98,23.21,89.693,294,0.02,0.72,0.5,2,0.9,4.1,0.39,0.8,0.01,0.2,12
79,S98_01863,23/07/98,23.005,89.823,223,0.02,0.42,0.5,2,1.4,2.9,0.43,1,0.01,0.2,NA
80,S98_01864,23/07/98,23.167,90.195,241,0.02,0.23,0.5,4,0.3,2.6,0.7,0.5,0.01,0.2,22
81,S98_01865,25/07/98,22.7,90.369,19,0.02,0.06,0.5,4,0.3,0.4,0.69,2.2,0.03,0.2,16
82,S98_01866,25/07/98,22.355,90.345,25,0.02,0.21,0.5,3,0.6,0.4,0.79,3.1,0.02,0.5,53
83,S98_01867,21/07/98,23.51,90.217,271,0.03,1.07,0.5,2,3.6,4.1,0.54,0.9,0.01,0.3,NA
84,S98_01868,16/07/98,23.769,90.364,22,0.02,0.14,1.6,9,0.1,5,0.53,1.4,0.01,1.8,14
85,S98_04510,29/07/98,22.1467,91.8231,78,0.03,0.53,0.6,2,0.1,2.7,1.81,0.1,0.05,0.2,NA
86,S98_04511,29/07/98,22.1924,91.8562,39,0.02,0.97,0.5,5,0.2,1.7,0.65,2.5,0.07,0.2,NA
87,S98_04512,29/07/98,22.1467,91.8231,72,0.02,0.25,0.6,2,0.1,1.4,0.41,0.3,0.02,0.2,47
88,S98_04513,28/07/98,23.4453,91.1722,64,0.02,1.13,0.5,17,0.5,1.9,0.31,1.1,0.13,0.4,74
89,S98_04514,28/07/98,23.536,90.7104,129,0.02,0.77,0.5,2,2.3,3.8,0.32,0.4,0.08,0.2,30
90,S98_04515,28/07/98,23.2499,91.115,30,0.02,0.18,0.7,1,0.7,1.6,0.38,0.6,0.05,0.2,18
91,S98_04516,31/07/98,23.2484,90.8696,99,0.03,0.31,0.6,19,0.1,3.1,2.2,0.2,0.01,0.2,52
92,S98_04517,31/07/98,23.2342,90.6673,112,0.03,0.32,0.5,4,2.4,2.2,2.19,0.9,0.01,0.2,NA
93,S98_04518,28/07/98,22.8334,91.0955,32,0.02,0.35,0.5,1,5.6,1.7,1.2,0.2,0.07,0.3,12
94,S98_04519,28/07/98,23.0053,91.3866,19,0.02,0.17,0.5,2,1.7,1.1,0.46,0.7,0.03,0.2,13
95,S98_04520,28/07/98,22.7761,91.5656,20,0.02,0.25,1.1,3,4,1.5,8.17,0.7,0.03,0.4,13
96,S98_04521,29/07/98,22.4735,91.7891,42,0.02,0.31,3.9,8,0.1,5.5,3.07,1.3,0.03,0.2,24
97,S98_04522,29/07/98,22.3704,91.8442,55,0.02,1.7,0.7,3,0.1,1.7,1.93,1.2,0.02,0.5,24
98,S98_04523,29/07/98,22.2234,91.898,33,0.02,0.5,0.5,1,0.1,1,0.39,0.1,0.07,0.4,12
99,S98_04524,29/07/98,22.0721,92.0479,23,0.02,0.21,0.8,2,0.9,0.4,0.41,0.3,0.01,0.7,18
100,S98_04525,30/07/98,21.4349,91.9656,24,0.02,0.47,0.5,3,1,2.7,0.64,0.3,0.03,1.5,12
101,S98_04526,30/07/98,21.2432,92.1325,22,0.02,0.11,2.1,2,0.1,1.8,0.44,1.1,0.02,0.2,11
102,S99_00796,04/06/99,22.4815,91.4285,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,S99_00797,04/06/99,22.4815,91.4285,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,S99_00798,04/06/99,22.4815,91.4285,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,S99_00799,28/05/99,21.517,91.9584,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,S99_00800,30/05/99,21.8128,91.8449,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,S99_00801,03/06/99,22.4817,91.4332,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,S99_00802,24/05/99,23.8659,91.201,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,S99_00803,24/05/99,23.7627,90.9899,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,S99_00804,25/05/99,24.1945,91.5138,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,S99_00805,25/05/99,24.3776,91.4083,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,S99_00806,25/05/99,24.4696,91.7603,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,S99_00807,25/05/98,24.8795,91.8605,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
